locality name,Price Range,Q/Q,trends,one bedroom,two bedroom,three bedroom
Valmiki Nagar,-,-,Not Available,"Rs. 19,377 - 21,267","Rs. 24,929 - 26,846",-
Vardhman Nagar,"Rs. 17,000 - 21,802/sq. ft.",-5.01%  ,See Trends,-,-,-
Veena Nagar,-,-,Not Available,"Rs. 16,150 - 17,850",-,-
Veena Nagar Phase-II,-,-,Not Available,"Rs. 16,150 - 19,125",-,-
Vidyavihar,"Rs. 19,168 - 24,522/sq. ft.",1.46%  ,See Trends,-,-,-
Vidya Vihar West,"Rs. 11,432 - 13,515/sq. ft.",6.5%  ,See Trends,"Rs. 22,952 - 25,446",-,-
Vikhroli (East),-,-,Not Available,"Rs. 27,540 - 36,720","Rs. 46,750 - 55,250","Rs. 58,306 - 73,168"
Vikhroli (West),"Rs. 12,325 - 14,705/sq. ft.",15.9%  ,See Trends,"Rs. 24,926 - 27,859","Rs. 36,338 - 39,568","Rs. 62,879 - 70,882"
Mumbai Navi,,,,,,
Adaigaon,"Rs. 4,420 - 4,930/sq. ft.",-2.65%  ,See Trends,-,-,-
Airoli,"Rs. 9,988 - 11,518/sq. ft.",-1.93%  ,See Trends,"Rs. 13,779 - 16,155","Rs. 22,253 - 26,227","Rs. 31,625 - 36,310"
Airoli Gaothan,-,-,Not Available,"Rs. 8,500 - 9,775",-,-
Akurli,"Rs. 4,505 - 5,185/sq. ft.",1.79%  ,See Trends,-,-,-
Belapur,"Rs. 9,222 - 11,305/sq. ft.",-0.81%  ,See Trends,"Rs. 10,752 - 14,025","Rs. 22,100 - 28,050",-
Belpada,"Rs. 9,010 - 10,285/sq. ft.",12.75%  ,See Trends,"Rs. 10,752 - 11,688","Rs. 17,634 - 20,701",-
Bonkode,"Rs. 6,758 - 9,775/sq. ft.",-,Not Available,"Rs. 10,608 - 11,934",-,-
Chipale,"Rs. 4,208 - 4,972/sq. ft.",-1.82%  ,See Trends,-,-,-
Devad,"Rs. 4,335 - 4,888/sq. ft.",-2.68%  ,See Trends,"Rs. 5,015 - 6,520",-,-
Diva Gaothan,-,-,Not Available,"Rs. 10,404 - 12,138",-,-
Dronagiri,"Rs. 4,292 - 4,845/sq. ft.",0.93%  ,See Trends,"Rs. 3,924 - 4,414","Rs. 7,676 - 8,443",-
Ghansoli,"Rs. 9,902 - 11,815/sq. ft.",1.6%  ,See Trends,"Rs. 12,112 - 14,535","Rs. 23,891 - 28,315","Rs. 35,414 - 39,209"
Ghot,-,-,Not Available,"Rs. 4,114 - 6,171",-,-
Ghotkamp Koyana Vele,"Rs. 3,740 - 4,548/sq. ft.",-5%  ,See Trends,-,-,-
Harigram,"Rs. 4,378 - 4,845/sq. ft.",-,Not Available,-,-,-
Jeejamata Nagar,"Rs. 11,858 - 12,708/sq. ft.",-0.69%  ,See Trends,-,"Rs. 28,636 - 32,455","Rs. 35,414 - 39,209"
Jijamata Nagar,"Rs. 10,710 - 11,858/sq. ft.",-,Not Available,-,"Rs. 29,228 - 34,542","Rs. 38,143 - 46,619"
Jui Nagar,"Rs. 8,968 - 10,795/sq. ft.",-0.44%  ,See Trends,"Rs. 12,155 - 15,428","Rs. 17,927 - 20,266",-
